Word,POS Tag
Iklan,NNP
Berita,NNP
Tempo,NNP
Plus,NNP
Handi,NNP
Risza,NNP
Wakil,NNP
Rektor,NNP
Universitas,NNP
Paramadina,NNP
",",","
lulus,JJ
program,NN
doktor,NN
ekonomi,VBP
Islam,NNP
dari,NN
Universitas,NNP
Islam,NNP
Negeri,NNP
Syarif,NNP
Hidayatullah,NNP
Jakarta,NNP
Makan,NNP
bergizi,NN
gratis,NN
bak,NN
pedang,NN
bermata,NN
dua,NN
.,.
Bisa,NNP
memicu,NN
kegagalan,NN
politik,VBP
anggaran,NN
yang,NN
menjadi,NN
bumerang,NN
bagi,NN
penguasa,NN
.,.
6,CD
April,NNP
2026,CD
|,NNP
07.15,CD
WIB,NNP
Dengarkan,NNP
artikel,NN
Bagikan,NNP
Gabung,NNP
Tempo,NNP
Circle,NNP
TAHUN,NNP
2026,CD
menjadi,NN
momen,NNS
pertaruhan,VBP
politik,JJ
yang,NNP
berat,NN
bagi,NN
Presiden,NNP
Prabowo,NNP
Subianto,NNP
.,.
Di,NNP
tengah,JJ
melonjaknya,NN
harga,NN
minyak,NN
dunia,NN
akibat,NN
perang,NN
Iran,NNP
dengan,NN
Israel,NNP
yang,NNP
dibantu,NN
Amerika,NNP
Serikat,NNP
",",","
Prabowo,NNP
akan,VBZ
mempertahankan,JJ
proyekmakan,JJ
bergizi,NN
gratisatau,NN
MBG,NNP
.,.
Edisi,NNP
5,CD
April,NNP
2026,CD
Minyak,NNP
Hilang,NNP
Elpiji,NNP
Tak,NNP
Terbilang,NNP
Minyak,NNP
Hilang,NNP
Elpiji,NNP
Tak,NNP
Terbilang,NNP
PODCAST,NNP
REKOMENDASI,NNP
TEMPO,NNP
Iklan,NNP
Kebrutalan,NNP
Polisi,NNP
di,FW
Dogiyai,NNP
Salah,NNP
Kaprah,NNP
DPR,NNP
Mengurusi,NNP
Pengadilan,NNP
Tebus,NNP
Mahal,NNP
Pemangkasan,NNP
Dana,NNP
Transfer,NNP
ke,VBZ
Daerah,NNP
Saatnya,NNP
Menaikkan,NNP
Harga,NNP
BBM,NNP
Iklan,NNP
Tebus,NNP
Dosa,NNP
Mahkamah,NNP
Konstitusi,NNP
Ilusi,NNP
Pertumbuhan,NNP
Lewat,NNP
Kelas,NNP
Berduit,NNP
Memutus,NNP
Rantai,NNP
Korupsi,NNP
Sumber,NNP
Daya,NNP
Alam,NNP
Otokritik,NNP
Gerakan,NNP
Masyarakat,NNP
Sipil,NNP
Hak,NNP
Disabilitas,NNP
Setelah,NNP
Putusan,NNP
MK,NNP
Iklan,NNP
Salah,NNP
Kaprah,NNP
DPR,NNP
Mengurusi,NNP
Pengadilan,NNP
Ilusi,NNP
Keberhasilan,NNP
Pariwisata,NNP
Indonesia,NNP
Hantu,NNP
Kampung,NNP
di,NN
Film,NNP
Horor,NNP
Demokrasi,NNP
tanpa,NN
Makna,NNP
dalam,NN
Pilkada,NNP
Tak,NNP
Langsung,NNP
Tak,NNP
Sungguh-sungguh,NNP
Menghemat,NNP
BBM,NNP
Kebrutalan,NNP
Polisi,NNP
di,FW
Dogiyai,NNP
Tebus,NNP
Mahal,NNP
Pemangkasan,NNP
Dana,NNP
Transfer,NNP
ke,VBZ
Daerah,NNP
Saatnya,NNP
Menaikkan,NNP
Harga,NNP
BBM,NNP
Paradoks,NNP
Ilmu,NNP
Pengetahuan,NNP
sebagai,VBD
Penghancur,NNP
Manusia,NNP
Paradoks,NNP
Prabowo,NNP
Subianto,NNP
Ancang-ancang,NNP
Dini,NNP
Pemilu,NNP
2029,CD
Turunnya,NNP
Kepercayaan,NNP
kepada,NNP
Polisi,NNP
Komunisme,NNP
Mati,NNP
di,VBZ
Taman,NNP
Karl,NNP
Marx,NNP
Salah,NNP
Kaprah,NNP
Mencegah,NNP
Krisis,NNP
Iklim,NNP
Republik,NNP
Topi,NNP
Jerami,NNP
Tahun,NNP
Baru,NNP
Lemas,NNP
dan,NN
Lemah,NNP
",",","
Mengapa,NNP
Acap,NNP
Tertukar,NNP
?,.
Jejak,NNP
Bahasa,NNP
Portugis,NNP
di,FW
Nusantara,NNP
Arti,NNP
Kepentingan,NNP
Publik,NNP
dalam,NN
Jurnalisme,NNP
Iklan,NNP
Iklan,NNP
Iklan,NNP
Iklan,NNP
TRUSTWORTHY,NNP
NEWS,NNP
